"Date","Project","Phase","Activity","Hours","Notes","Billable","Staff"
"03/03/2026","Henderson Residence","Phase 0","Activity 0","1.00","Note 0","Yes","Staff"
"2026-03-10","Lakeview Kitchen","Phase 1","Activity 1","1.25","Note 1","Y","Staff"
"03/17/2026","Unknown Project XYZ","Phase 2","Activity 2","1.50","Note 2","1","Staff"
"2026-03-24","Henderson Residence","Phase 0","Activity 3","1.75","Note 3","true","Staff"
"03/03/2026","Lakeview Kitchen","Phase 1","Activity 4","2.00","Note 4","No","Staff"
"2026-03-10","Unknown Project XYZ","Phase 2","Activity 5","2.25","Note 5","N","Staff"
"03/17/2026","Henderson Residence","Phase 0","Activity 6","2.50","Note 6","0","Staff"
"2026-03-24","Lakeview Kitchen","Phase 1","Activity 7","2.75","Note 7","false","Staff"
"03/03/2026","Unknown Project XYZ","Phase 2","Activity 8","3.00","Note 8","Yes","Staff"
"2026-03-10","Henderson Residence","Phase 0","Activity 9","3.25","Note 9","Y","Staff"
"03/17/2026","Lakeview Kitchen","Phase 1","Activity 10","3.50","Note 10","1","Staff"
"2026-03-24","Unknown Project XYZ","Phase 2","Activity 11","3.75","Note 11","true","Staff"
"03/03/2026","Henderson Residence","Phase 0","Activity 12","4.00","Note 12","No","Staff"
"2026-03-10","Lakeview Kitchen","Phase 1","Activity 13","4.25","Note 13","N","Staff"
"03/17/2026","Unknown Project XYZ","Phase 2","Activity 14","4.50","Note 14","0","Staff"
"2026-03-24","Henderson Residence","Phase 0","Activity 15","4.75","Note 15","false","Staff"
"03/03/2026","Lakeview Kitchen","Phase 1","Activity 16","5.00","Note 16","Yes","Staff"
"2026-03-10","Unknown Project XYZ","Phase 2","Activity 17","5.25","Note 17","Y","Staff"
"03/17/2026","Henderson Residence","Phase 0","Activity 18","5.50","Note 18","1","Staff"
"2026-03-24","Lakeview Kitchen","Phase 1","Activity 19","5.75","Note 19","true","Staff"
"03/03/2026","Unknown Project XYZ","Phase 2","Activity 20","6.00","Note 20","No","Staff"
"2026-03-10","Henderson Residence","Phase 0","Activity 21","6.25","Note 21","N","Staff"
"03/17/2026","Lakeview Kitchen","Phase 1","Activity 22","6.50","Note 22","0","Staff"
"2026-03-24","Unknown Project XYZ","Phase 2","Activity 23","6.75","Note 23","false","Staff"
